id_harga;id_saham;tanggal;close;volume
;5;2004-09-27;260;1695000
;5;2004-09-28;255;362500
;5;2004-09-29;255;475000
;5;2004-09-30;260;642500
;5;2004-10-01;270;2208000
;5;2004-10-04;265;196000
;5;2004-10-05;265;1159000
;5;2004-10-06;265;340000
;5;2004-10-07;275;1897500
;5;2004-10-08;270;561500
;5;2004-10-11;280;1030000
;5;2004-10-12;275;604500
;5;2004-10-13;285;5161000
;5;2004-10-14;280;646500
;5;2004-10-15;275;237500
;5;2004-10-18;265;317500
;5;2004-10-19;270;339500
;5;2004-10-20;270;354000
;5;2004-10-21;270;575500
;5;2004-10-22;265;305500
;5;2004-10-25;265;189000
;5;2004-10-26;265;210000
;5;2004-10-27;270;65000
;5;2004-10-28;270;80000
;5;2004-10-29;270;20000
;5;2004-11-01;265;65000
;5;2004-11-02;270;577500
;5;2004-11-03;270;20000
;5;2004-11-04;270;220500
;5;2004-11-05;270;130000
;5;2004-11-08;265;250000
;5;2004-11-09;265;110000
;5;2004-11-10;275;807500
;5;2004-11-11;265;1385000
;5;2004-11-12;270;2062500
;5;2004-11-15;270;0
;5;2004-11-16;270;0
;5;2004-11-17;270;0
;5;2004-11-18;270;0
;5;2004-11-19;270;0
;5;2004-11-22;260;1377500
;5;2004-11-23;265;1485000
;5;2004-11-24;270;617000
;5;2004-11-25;280;3632000
;5;2004-11-26;280;236000
;5;2004-11-29;285;491000
;5;2004-11-30;280;372500
;5;2004-12-01;280;50000
;5;2004-12-02;280;2952000
;5;2004-12-03;280;690500
;5;2004-12-06;285;265500
;5;2004-12-07;280;310000
;5;2004-12-08;280;119500
;5;2004-12-09;280;560000
;5;2004-12-10;275;481500
;5;2004-12-13;275;300000
;5;2004-12-14;275;3598500
;5;2004-12-15;275;441500
;5;2004-12-16;280;98000
;5;2004-12-17;275;101500
;5;2004-12-20;280;1278000
;5;2004-12-21;275;585000
;5;2004-12-22;270;485000
;5;2004-12-23;270;10000
;5;2004-12-24;270;0
;5;2004-12-27;275;487500
;5;2004-12-28;275;208000
;5;2004-12-29;275;50000
;5;2004-12-30;285;952500
;5;2004-12-31;285;0
;5;2005-01-03;285;466000
;5;2005-01-04;285;598000
;5;2005-01-05;275;687000
;5;2005-01-06;290;1955500
;5;2005-01-07;285;144500
;5;2005-01-10;285;302500
;5;2005-01-11;285;72500
;5;2005-01-12;285;245000
;5;2005-01-13;290;315500
;5;2005-01-14;295;938000
;5;2005-01-17;290;345000
;5;2005-01-18;290;0
;5;2005-01-19;290;0
;5;2005-01-20;310;2842500
;5;2005-01-21;310;0
;5;2005-01-24;330;4870000
;5;2005-01-25;320;1348000
;5;2005-01-26;360;6939000
;5;2005-01-27;350;3628500
;5;2005-01-28;340;825000
;5;2005-01-31;330;328000
;5;2005-02-01;330;281500
;5;2005-02-02;330;0
;5;2005-02-03;330;26500
;5;2005-02-04;315;721500
;5;2005-02-07;325;54000
;5;2005-02-08;320;111000
;5;2005-02-09;320;0
;5;2005-02-10;320;0
;5;2005-02-11;325;121000
;5;2005-02-14;305;442500
;5;2005-02-15;315;412000
;5;2005-02-16;310;616000
;5;2005-02-17;310;1969000
;5;2005-02-18;320;483500
;5;2005-02-21;340;3090000
;5;2005-02-22;360;6734000
;5;2005-02-23;365;5346500
;5;2005-02-24;370;1722000
;5;2005-02-25;350;2235000
;5;2005-02-28;355;237500
;5;2005-03-01;360;123000
;5;2005-03-02;350;598500
;5;2005-03-03;375;2816500
;5;2005-03-04;370;431000
;5;2005-03-07;365;194000
;5;2005-03-08;370;293000
;5;2005-03-09;380;812500
;5;2005-03-10;400;5270000
;5;2005-03-11;400;0
